name,address,latitude,longitude,technicalPlatform,level,establishmentType,establishmentCode,services
CSU-DM PUBLIC Assoumin de ABOBO,,5.438711,-4.056797,,CENTRE_SANTE,PUBLIQUE,0678,
CSU-DM PUBLIC de ABOBO BOCABO,,5.4257421,-4.0343538,,CENTRE_SANTE,PUBLIQUE,0611,
FSU COMMUNAUTAIRE de ABOBO SAGBE,,5.416397,-4.032591,,CENTRE_SANTE,PUBLIQUE,0226,
FSU COMMUNAUTAIRE de ANONKOUA-KOUTE,,5.435028,-4.04657,,CENTRE_SANTE,PUBLIQUE,0065,
ONG SANTE MATERNELLE INFANTILE - SMI,,5.442161667,-4.076698333,,CENTRE_SANTE,PRIVE,2449,
CENTRE MEDICAL OLYMPIQUE,,5.449067852,-4.071391602,,CENTRE_SANTE,PRIVE,2827,
CSUS-SSSU 3 PUBLIC de ABOBO PK18,,5.437799999,-4.0154,,CENTRE_SANTE,PUBLIQUE,1233,
HG PUBLIC de ABOBO SUD,,5.4238187,-4.0164104,,CH,PUBLIQUE,0612,
CSU-DM PUBLIC D'ALLOKOI,,5.396199283,-4.146837325,,CENTRE_SANTE,PUBLIQUE,2507,
CM PRIVE ESPACE MEDICAL ROUTE D'ANYAMA,,5.458493433,-4.05402258,,CENTRE_SANTE,PRIVE,2826,
INF-PV CHRIST ROI de Anyama,,5.455914143,-4.054230524,,CENTRE_SANTE,PRIVE,0190,
CENTRE MEDICAL DON ORIONE DE ANYAMA,,5.499517194,-4.048999968,,CENTRE_SANTE,PRIVE,7778,
CENTRE MEDICAL EMMANUEL EL RAPHA,,5.452868412,-4.083034873,,CENTRE_SANTE,PRIVE,2828,
CM ONG AIME TON PROCHAIN de ANYAMA,,5.45996027,-4.05446187,,CENTRE_SANTE,PRIVE,6678,
CSR-D PUBLIC de AZAGUIE-BLIDA,,5.52139,-4.09328,,CENTRE_SANTE,PUBLIQUE,0806,
CSR-DM PUBLIC D'ANDOKOI 2,,5.408791265,-4.219367939,,CENTRE_SANTE,PUBLIQUE,2508,
CSR-DM PUBLIC de AHOUABO,,5.4891,-4.0353,,CENTRE_SANTE,PUBLIQUE,8417,
CSR-DM PUBLIC de EBIMPE,,5.500709004,-4.081759147,,CENTRE_SANTE,PUBLIQUE,0199,
CSR-DM PUBLIC de M'BONOUA,,5.55412,-4.23266,,CENTRE_SANTE,PUBLIQUE,0204,
CSR-DM PUBLIC de M'BRAGO 1 de ANYAMA,,5.532299999,-4.2215,,CENTRE_SANTE,PUBLIQUE,1838,
CSR-DM PUBLIC de M'PODY,,5.57179,-4.23621,,CENTRE_SANTE,PUBLIQUE,0202,
CSU-DM PUBLIC de AKOUPE-ANYAMA,,5.479281978,-4.155182595,,CENTRE_SANTE,PUBLIQUE,0187,
CSU-DM PUBLIC de ANYAMA,,5.484973673,-4.054749645,,CENTRE_SANTE,PUBLIQUE,1981,
CSU-DM PUBLIC de ATTINGUIE,,5.469524,-4.191422,,CENTRE_SANTE,PUBLIQUE,0195,
CSUS-SSSU ANYAMA,,5.494999999,-4.0632,,CENTRE_SANTE,PUBLIQUE,1499,
HG PUBLIC de ANYAMA,,5.500314,-4.046247,,CH,PUBLIQUE,0189,
INF-PV PRIVE TITAGA de ANYAMA,,5.504113475,-4.052790031,,CENTRE_SANTE,PRIVE,6680,
INF-PV SCB BADEMA DE ANYAMA,,5.5244,-4.1645,,CENTRE_SANTE,PRIVE,6681,
CSR-DM PUBLIC de AHOUE,,5.4974,-3.94597,,CENTRE_SANTE,PUBLIQUE,1418,
CSR-DM PUBLIC de ATTIEKOI,,5.53386,-3.971,,CENTRE_SANTE,PUBLIQUE,0193,
CSR-DM PUBLIC de IRHO LAME,,5.45415,-3.85549,,CENTRE_SANTE,PUBLIQUE,0172,
CSU-DM PUBLIC de BROFODOUME,,5.5108,-3.9277,,CENTRE_SANTE,PUBLIQUE,0197,
CSU-D PUBLIC de Prison MAC d'Abidan (MACA),,5.3916,-4.07746,,CENTRE_SANTE,PUBLIQUE,0155,
CSU-DM PRIVE-ONG Asapsu I de YOPOUGON,,5.334790391,-4.073523804,,CENTRE_SANTE,PRIVE,7702,
CENTRE MEDICAL NDA de NOUVEAU QUARTIER,,5.337828333,-4.057953333,,CENTRE_SANTE,PRIVE,2418,
CLINIQUE HOZANNA  de CAMP MILITAIRE,,5.324808333,-4.060578333,,CLINIQUE_PRIVEE,PRIVE,2421,
CLINIQUE LES OLIVIERS,,5.351843333,-4.061775,,CLINIQUE_PRIVEE,PRIVE,2309,
CLINIQUE MEDICALE Chrysalide de YOPOUGON TOIT-ROUGE,,5.332699999,-4.0585,,CLINIQUE_PRIVEE,PRIVE,9722,
CMS PRIVE-ONG NAZAREEN de YOPOUGON,,5.3674,-4.0727,,CENTRE_SANTE,PRIVE,7704,
CSU-DM COMMUNAUTAIRE de YOPOUGON ANDOKOI,,5.3629,-4.0689,,CENTRE_SANTE,PUBLIQUE,1276,
CSU-DM PRIVE-ONG CAMES de YOPOUGON,,5.34706,-4.06907,,CENTRE_SANTE,PRIVE,7703,
CSU-DM PUBLIC de YOPOUGON SANTE,,5.3113,-4.0448,,CENTRE_SANTE,PUBLIQUE,0012,
CSUS-SSSU SAJ PUBLIC SICOGI de YOPOUGON,,5.3376,-4.0729,,CENTRE_SANTE,PUBLIQUE,1498,
ESPACE MEDICAL PHENIX,,5.328400001,-4.0673,,CENTRE_SANTE,PRIVE,2415,
ESPACE MEDICAL SAINT SIMON,,5.330635,-4.067461667,,CENTRE_SANTE,PRIVE,2417,
FSU PUBLIC de YOPOUGON KOUTE,,5.3208,-4.075,,CENTRE_SANTE,PUBLIQUE,1443,
FSU PUBLIC de YOPOUGON TOITS-ROUGES,,5.331410975,-4.056261778,,CENTRE_SANTE,PUBLIQUE,0150,
FSU PUBLIC MUDESCA KOWEIT DE YOPOUGON,,5.3169,-4.0516,,CENTRE_SANTE,PUBLIQUE,6155,
FSU PUBLIC OUASSAKARA DE YOPOUGON,,5.3533,-4.0682,,CENTRE_SANTE,PUBLIQUE,080,
HOTEL MEDICAL MARIA de CAMP MILITAIRE,,5.326453333,-4.053455,,CENTRE_SANTE,PRIVE,2419,
ICT 4ème CIE GSPM DE YOPOUGON,,5.329261667,-4.060378333,,CENTRE_SANTE,PUBLIQUE,2572,
INF-LC PUBLIC Collège Jeunes Filles de YOPOUGON,,5.3465,-4.0515,,CENTRE_SANTE,PUBLIQUE,0071,
INF-LC PUBLIC Collège Moderne Andokoi de YOPOUGON,,5.362500001,-4.068,,CENTRE_SANTE,PUBLIQUE,1117,
INF-LC PUBLIC Lycée Municipal de YOPOUGON,,5.32671,-4.073023333,,CENTRE_SANTE,PUBLIQUE,1280,
INF-LC PUBLIC Lycée Professionnel de YOPOUGON,,5.359137,-4.079763,,CENTRE_SANTE,PUBLIQUE,1508,
NOUVELLE CLINIQUE IROKO,,5.332,-4.0596,,CLINIQUE_PRIVEE,PRIVE,2414,
POLYCLINIQUE DE YOPOUGON de ABOBODOUME,,5.321666667,-4.053353333,,CLINIQUE_PRIVEE,PRIVE,2420,
CM PRIVE Nieky de SONGON KASSABLE,,5.3782,-4.2934,,CENTRE_SANTE,PRIVE,7901,
CM PRIVE Palmafrique de SONGON KASSABLE,,5.405399501,-4.205254214,,CENTRE_SANTE,PRIVE,7902,
CMS PRIVE FUTURO DE SONGON AGBAN,,5.312391667,-4.265058333,,CENTRE_SANTE,PRIVE,0954,
INFIRMERIE DU CNRA,,5.312752691,-4.155282816,,CENTRE_SANTE,PRIVE,0980,
CSR-D PUBLIC de BAGO,,5.490499999,-4.27,,CENTRE_SANTE,PUBLIQUE,0266,
CSR-D PUBLIC de KOSSIHOUEN,,5.524085825,-4.288765714,,CENTRE_SANTE,PUBLIQUE,1197,
CSR-DM PUBLIC de SONGON AGBAN,,5.324711236,-4.251197018,,CENTRE_SANTE,PUBLIQUE,0270,
CSR-I PUBLIC de ABADJIN-KOUTE,,5.330700001,-4.1501,,CENTRE_SANTE,PUBLIQUE,1965,
CSU-DM PUBLIC de Songon KASSABLE,,5.318465964,-4.201643625,,CENTRE_SANTE,PUBLIQUE,0268,
INF-LC PUBLIC Collège Abadjan Kouté de YOPOUGON,,5.337071667,-4.146766667,,CENTRE_SANTE,PUBLIQUE,1335,
CENTRE MEDICAL  LA NOUVELLE ALLIANCE,,5.3632,-4.0976,,CENTRE_SANTE,PRIVE,2443,
CENTRE MEDICAL REHOBOTH,,5.362199999,-4.1009,,CENTRE_SANTE,PRIVE,2447,
CENTRE MEDICAL SAINT-MICHEL ARCHANGE,,5.339600001,-4.0936,,CENTRE_SANTE,PRIVE,2441,
CHU PUBLIC de YOPOUGON,,5.358899999,-4.0913,,CHU,PUBLIQUE,0149,
CLINIQUE  LA GRACE DIVINE,,5.340700001,-4.1,,CLINIQUE_PRIVEE,PRIVE,2429,
CLINIQUE CITE VERTE,,5.3322982,-4.105129028,,CLINIQUE_PRIVEE,PRIVE,2424,
CLINIQUE GRAND CENTRE,,5.33693,-4.08781,,CLINIQUE_PRIVEE,PRIVE,0943,
CLINIQUE JANE LEORA,,5.352333333,-4.098318333,,CLINIQUE_PRIVEE,PRIVE,9721,
CLINIQUE MEDICALE CHANDELIE,,5.34734,-4.099508333,,CLINIQUE_PRIVEE,PRIVE,2427,
CLINIQUE MEDICALE GRANDE ETOILE,,5.342105,-4.100536,,CLINIQUE_PRIVEE,PRIVE,2437,
CLINIQUE MEDICALE LE BANCO,,5.3552,-4.0788,,CLINIQUE_PRIVEE,PRIVE,2435,
CLINIQUE MEDICALE MONT CARMEL,,5.352299999,-4.0991,,CLINIQUE_PRIVEE,PRIVE,2448,
CLINIQUE MEDICO CHIRURGICALE SAINT RAPHAEL,,5.342513333,-4.096845,,CLINIQUE_PRIVEE,PRIVE,2440,
CLINIQUE QUEEN LATIFA,,5.334895,-4.098738333,,CLINIQUE_PRIVEE,PRIVE,2432,
CLINIQUE SAINTE MARIE,,5.317318333,-4.106838333,,CLINIQUE_PRIVEE,PRIVE,2425,
CM PRIVE Solidarité de YOPOUGON,,5.367021667,-4.099193333,,CENTRE_SANTE,PRIVE,7272,
CSR-DM PUBLIC de ADIOPODOUME,,5.332800001,-4.1304,,CENTRE_SANTE,PUBLIQUE,0207,
CSU-D CONFESSIONNEL SOEUR PASSIONNISTE d' ABADJIN-DOUME,,5.31187,-4.09797,,CENTRE_SANTE,CONFESSIONNEL,4557,
CSU-D PRIVE Thèrese Hauly de ADIOPODOUME,,5.34,-4.1274,,CENTRE_SANTE,PRIVE,0013,
CSU-DM PUBLIC DE YOPOUGON AZITO,,5.3051,-4.0807,,CENTRE_SANTE,PUBLIQUE,1406,
CSU-DM PUBLIC Gesco manutention de YOPOUGON,,5.359215,-4.106213333,,CENTRE_SANTE,PUBLIQUE,1572,
CSU-DM PUBLIC Niangon Lokoa de YOPOUGON,,5.311799999,-4.1026,,CENTRE_SANTE,PUBLIQUE,0158,
CSU-DM CONFESSIONNEL Soeur Cathérine de YOPOUGON,,5.3178,-4.0885,,CENTRE_SANTE,CONFESSIONNEL,2740,
CSU-DM PRIVE ASAPSU de GESCO,,5.36031534,-4.106196128,,CENTRE_SANTE,PRIVE,6800,
CSUS-CAT PUBLIC de YOPOUGON ATTIE,,5.3422,-4.0806,,CENTRE_SANTE,PUBLIQUE,3054,
CSUS-CDV PRIVE AIBEF de YOPOUGON,,5.3422,-4.0793,,CENTRE_SANTE,PRIVE,7707,
CSUS-CDV PRIVE Saint Jean-Baptiste  Gesco de YOPOUGON,,5.36858,-4.101945,,CENTRE_SANTE,PRIVE,7708,
CSUS-SSSU SAJ PUBLIC de YOPOUGON OUEST SONGON,,5.3177,-4.0888,,CENTRE_SANTE,PUBLIQUE,6801,
FSU PUBLIC de ADIOPODOUME,,5.3377,-4.1327,,CENTRE_SANTE,PUBLIQUE,0339,
FSU PUBLIC DE YOPOUGON GESCO,,5.369985709,-4.101490444,,CENTRE_SANTE,PUBLIQUE,1025,
FSU PUBLIC DE YOPOUGON NIANGON-SUD,,5.3246,-4.0901,,CENTRE_SANTE,PUBLIQUE,0679,
FSU COMMUNAUTAIRE de YOPOUGON PORT-BOUET II,,5.347100001,-4.0914,,CENTRE_SANTE,PUBLIQUE,1001,
GROUPE MEDICAL PROMETHÉE,,5.352600001,-4.0982,,CENTRE_SANTE,PRIVE,2426,
HG PUBLIC de YOPOUGON-ATTIE,,5.3421,-4.0797,,CH,PUBLIQUE,0152,
HGS PRIVE CEPREF de YOPOUGON ATTIE,,5.3421,-4.0797,,CH,PRIVE,3048,
CLINIQUE  SILOHE,,5.317109772,-4.080569632,,CLINIQUE_PRIVEE,PRIVE,2416,
CLINIQUE PIERRE MARIE HAGMAN de SIDECI IGES,,5.321756993,-4.080245672,,CLINIQUE_PRIVEE,PRIVE,2423,
CMS CONFESSIONNEL BETHESDA de YOPOUGON,,5.326210591,-4.082543738,,CENTRE_SANTE,CONFESSIONNEL,7911,
CMS PRIVE-ONG CENTRE PLUS de YOPOUGON-EST,,5.31187,-4.09797,,CENTRE_SANTE,PRIVE,0939,
CMS PRIVE-ONG EDEN de YOPOUGON EST,,5.3376,-4.0791,,CENTRE_SANTE,PRIVE,9734,
CMS UNIVERSITE NANGUI ABROGOUA,,5.3906,-4.0161,,CENTRE_SANTE,PRIVE,1019,
COORDINATION NATIONALE DES GARES ROUTIERES,,5.35504852,-4.0215919,,CENTRE_SANTE,PRIVE,1586,
CDV PAVVIOS D'ATTECOUBE,,5.349875,-4.033055,,CENTRE_SANTE,PRIVE,0366,
